Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,Fertilizer
40,74,24,Loamy,Sugarcane,47,59,54,20-20
22,64,57,Clayey,Pulses,55,51,41,20-20
21,71,50,Red,Wheat,20,31,32,Urea
21,58,63,Red,Wheat,40,57,37,14-35-14
39,51,29,Sandy,Pulses,49,32,10,MOP
32,30,23,Clayey,Maize,39,38,31,28-28
33,65,84,Clayey,Paddy,49,56,30,20-20
26,39,26,Red,Wheat,54,13,45,DAP
24,68,52,Clayey,Wheat,24,75,35,14-35-14
30,82,73,Loamy,Maize,37,43,74,10-26-26
22,79,28,Black,Sugarcane,28,34,56,10-26-26
32,31,23,Sandy,Paddy,30,66,40,14-35-14
19,40,46,Clayey,Pulses,48,17,33,DAP
27,70,28,Red,Sugarcane,43,31,31,28-28
37,34,38,Red,Wheat,36,42,60,10-26-26
22,34,84,Red,Wheat,32,44,12,MOP
23,69,47,Clayey,Maize,55,11,34,DAP
24,51,21,Loamy,Paddy,35,48,76,10-26-26
25,32,26,Clayey,Pulses,15,27,23,Urea
22,44,44,Clayey,Paddy,34,32,28,28-28
33,79,77,Loamy,Wheat,27,62,25,14-35-14
25,70,76,Red,Sugarcane,38,20,36,DAP
35,71,36,Clayey,Cotton,53,16,48,DAP
33,49,32,Clayey,Maize,33,30,41,20-20
27,81,34,Sandy,Paddy,23,78,29,14-35-14
28,61,30,Clayey,Maize,36,37,35,28-28
36,36,79,Clayey,Pulses,47,37,52,20-20
24,75,84,Sandy,Pulses,28,41,59,10-26-26
20,78,44,Loamy,Cotton,56,33,37,20-20
20,73,64,Clayey,Cotton,46,18,49,DAP
22,66,69,Red,Maize,15,34,30,Urea
36,31,78,Black,Pulses,35,55,36,14-35-14
27,66,70,Loamy,Maize,38,63,37,14-35-14
25,85,44,Sandy,Sugarcane,38,47,52,20-20
29,66,47,Sandy,Maize,19,22,32,Urea
29,78,82,Black,Maize,34,76,26,14-35-14
35,30,74,Red,Sugarcane,31,15,37,DAP
23,79,77,Loamy,Cotton,26,74,29,14-35-14
37,73,62,Sandy,Pulses,36,47,38,20-20
32,58,36,Black,Wheat,23,27,24,Urea
24,56,70,Clayey,Paddy,34,80,36,14-35-14
40,49,26,Sandy,Maize,19,30,32,Urea
32,74,55,Black,Pulses,46,20,34,DAP
20,63,70,Clayey,Sugarcane,33,38,18,MOP
23,72,20,Red,Pulses,31,60,39,14-35-14
40,34,62,Black,Cotton,60,17,38,DAP
28,45,53,Clayey,Sugarcane,38,17,42,DAP
18,65,64,Red,Maize,23,59,31,14-35-14
36,42,66,Loamy,Sugarcane,57,41,20,MOP
33,39,26,Sandy,Wheat,42,12,33,DAP
27,35,78,Sandy,Cotton,57,16,44,DAP
23,32,46,Black,Maize,38,36,77,10-26-26
26,67,37,Clayey,Sugarcane,39,26,35,28-28
27,67,82,Clayey,Paddy,29,42,75,10-26-26
33,34,65,Sandy,Pulses,40,65,38,14-35-14
23,57,59,Red,Wheat,35,57,29,14-35-14
24,74,49,Clayey,Pulses,10,38,25,Urea
20,62,49,Loamy,Paddy,55,47,10,MOP
18,35,32,Black,Sugarcane,28,35,64,10-26-26
25,38,80,Red,Wheat,26,43,40,28-28
40,72,56,Black,Cotton,42,34,38,28-28
26,71,40,Red,Maize,53,44,30,20-20
20,44,49,Red,Paddy,21,39,60,10-26-26
25,44,83,Red,Maize,37,31,12,MOP
38,82,34,Sandy,Paddy,40,37,40,28-28
36,65,31,Black,Wheat,52,19,45,DAP
22,33,26,Red,Wheat,54,53,56,20-20
29,72,56,Black,Cotton,27,45,38,28-28
34,83,38,Sandy,Wheat,45,36,17,MOP
19,72,54,Red,Paddy,22,39,23,Urea
34,65,42,Black,Pulses,19,27,36,Urea
38,36,49,Sandy,Wheat,55,17,31,DAP
20,75,71,Black,Sugarcane,57,17,35,DAP
32,81,45,Loamy,Pulses,54,18,41,DAP
